pylint|2.15.4|False|pylint|59.3%|python code static checker|11196224
fastavro|1.6.1|True|fastavro|22%|Fast read/write of AVRO files|11109781
nltk|3.7|False|nltk|12.4%|Natural Language Toolkit|11091675
cattrs|22.1.0|True|cattrs|29.6%|Composable complex class support for attrs and dataclasses.|11060309
nbconvert|7.2.1|False|nbconvert|17.7%|Converting Jupyter Notebooks|10834856
unidecode|1.3.6|True|unidecode|3.5%|ASCII transliterations of Unicode text|10701766
ipykernel|6.16.0|True|ipykernel|10.8%|IPython Kernel for Jupyter|10656163
mock|4.0.3|False|mock|8.2%|Rolling backport of unittest.mock for all Pythons|10530814
humanfriendly|10.0|False|humanfriendly|12.9%|Human friendly output for text interfaces using Python|10505959
futures|3.0.5|False|concurrent|11.1%|Backport of the concurrent.futures package from Python 3.2|10503338
kubernetes|18.20.0|False|kubernetes|1%|Kubernetes python client|10502387
contextlib2|21.6.0|True|contextlib2|100%|Backports and enhancements for the contextlib module|10390856
aioconsole|0.5.1|False|aioconsole|12.3%|Asynchronous console and interfaces for asyncio|10370363
xlsxwriter|3.0.3|False|xlsxwriter|21.9%|A Python module for creating Excel XLSX files.|10264480
selenium|4.5.0|True|selenium|65.8%None|10183909
mypy|0.982|True|mypy|84.7%|Optional static typing for Python|9977977
mypy|0.982|True|mypyc|42.9%|Optional static typing for Python|9977977
httpx|0.15.4|True|httpx|23.7%|The next generation HTTP client.|9835189
httpx|0.15.4|True|httpx/_transports|0%|The next generation HTTP client.|9835189
applicationinsights|0.11.10|False|applicationinsights|19.6%|This project extends the Application Insights API surface to support Python.|9816471
jsonpickle|2.2.0|False|jsonpickle|16.9%|Python library for serializing any arbitrary object graph into JSON|9731197
shellingham|1.5.0|False|shellingham|65%|Tool to Detect Surrounding Shell|9716373
notebook|6.5.1|False|notebook|11.4%|A web-based notebook environment for interactive computing|9689001
websockets|10.3|True|websockets|78.3%|An implementation of the WebSocket Protocol (RFC 6455 & 7692)|9650669
websockets|10.3|True|websockets/extensions|77.8%|An implementation of the WebSocket Protocol (RFC 6455 & 7692)|9650669
websockets|10.3|True|websockets/legacy|55.6%|An implementation of the WebSocket Protocol (RFC 6455 & 7692)|9650669
numba|0.56.3|False|numba|9.2%|compiling Python code using LLVM|9390445
httpcore|0.15.0|True|httpcore|80.7%|A minimal low-level HTTP client.|9385016
httpcore|0.15.0|True|httpcore/_async|40.9%|A minimal low-level HTTP client.|9385016
httpcore|0.15.0|True|httpcore/_sync|40.9%|A minimal low-level HTTP client.|9385016
httpcore|0.15.0|True|httpcore/backends|0%|A minimal low-level HTTP client.|9385016
keras|2.10.0|False|keras|6.8%|Deep learning for humans.|9339741
pendulum|2.1.2|True|pendulum|35%|Python datetimes made easy|9307324
uvloop|0.17.0|True|uvloop|100%|Fast implementation of asyncio event loop on top of libuv|9291568
distro|1.8.0|True|distro|83%|Distro - an OS platform information API|9253643
mistune|2.0.4|False|mistune|24.8%|A sane Markdown parser with useful plugins and renderers|9242865
poetry|1.2.2|True|poetry|74%|Python dependency management and packaging made easy.|9198427
httptools|0.5.0|False|httptools|100%|A collection of framework independent HTTP protocol utils.|9151794
aenum|3.1.11|False|aenum|13%|Advanced Enumerations (compatible with Python's stdlib Enum), NamedTuples, and NamedConstants|9110193
cleo|1.0.0a5|False|cleo|82.8%|Cleo allows you to create beautiful and testable command-line interfaces.|8988624
seaborn|0.12.1|False|seaborn|18%|Statistical data visualization|8984239
statsmodels|0.13.2|False|statsmodels|9.3%|Statistical computations and models for Python|8944076
boto|2.49.0|False|boto|7.5%|Amazon Web Services Library|8942596
debugpy|1.6.3|False|debugpy|15.8%|An implementation of the Debug Adapter Protocol for Python|8935189
uvicorn|0.18.3|False|uvicorn|55.3%|The lightning-fast ASGI server.|8906465
asgiref|3.5.2|True|asgiref|76.6%|ASGI specs, helper code, and adapters|8888082
graphviz|0.20.1|False|graphviz|60.6%|Simple Python interface for Graphviz|8854428
commonmark|0.9.1|False|commonmark|14.8%|Python parser for the CommonMark Markdown spec|8781644
send2trash|1.8.0|False|send2trash|32.3%|Send file to trash natively under Mac OS X, Windows and Linux.|8779240
llvmlite|0.39.1|False|llvmlite|16.9%|lightweight wrapper around basic LLVM functionality|8711730
gspread|5.6.0|False|gspread|18.1%|Google Spreadsheets Python API|8672657
starlette|0.20.4|True|starlette|69.5%|The little ASGI library that shines.|8610182
pylev|1.4.0|False|pylev|28.6%|A pure Python Levenshtein implementation that's not freaking GPL'd.|8606739
pysftp|0.2.9|False|pysftp|7.7%|A friendly face on SFTP|8572731
crashtest|0.3.1|False|crashtest|79.2%|Manage Python errors with ease|8471407
pytzdata|2020.1|False|pytzdata|33.3%|The Olson timezone database for Python.|8468911
nbformat|5.7.0|True|nbformat|12.9%|The Jupyter Notebook format|8463723
cachy|0.3.0|False|cachy|8.9%|Cachy provides a simple yet effective caching library.|8410703
emoji|2.1.0|False|emoji|32.4%|Emoji for Python|8369037
flatbuffers|22.9.24|False|flatbuffers|26.8%|The FlatBuffers serialization format for Python|8320379
